Time,Channel A,Channel B,Channel C,Channel D,Channel D8,Channel D9,Channel D10,Channel D11,Channel D12,Channel D13,Channel D14,Channel D15,B-C
(ms),(V),(V),(V),(V),(V),(V),(V),(V),(V),(V),(V),(V),(V)

-200.19999146,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-200.09999147,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-199.99999147,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-199.89999147,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-199.79999147,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-199.69999148,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-199.59999148,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-199.49999148,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-199.39999148,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-199.29999149,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-199.19999149,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-199.09999149,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-198.99999149,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-198.89999150,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-198.79999150,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-198.69999150,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-198.59999151,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-198.49999151,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-198.39999151,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-198.29999151,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-198.19999152,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00015383
-198.09999152,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-197.99999152,0.00000000,5.07504940,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-197.89999152,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-197.79999153,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-197.69999153,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-197.59999153,0.07935531,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-197.49999153,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-197.39999154,0.07935531,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-197.29999154,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-197.19999154,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00015383
-197.09999154,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-196.99999155,0.00000000,5.07504940,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
-196.89999155,0.00000000,4.99569368,5.07351112,3.50916600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00778174
